#ID	gene_id
gp_0709	ENSG00000163531
gp_0710	ENSG00000163531
gp_0711	ENSG00000163531
gp_0712	ENSG00000163531
gp_0713	ENSG00000163531
gp_0714	ENSG00000163531
gp_0715	ENSG00000163531
gp_0716	ENSG00000163531
gp_0717	ENSG00000164828
gp_0718	ENSG00000164828
gp_0719	ENSG00000164828
gp_0720	ENSG00000164828
gp_0721	ENSG00000164828
gp_0722	ENSG00000164828
gp_0723	ENSG00000164828
gp_0724	ENSG00000164828
gp_0725	ENSG00000072071
gp_0726	ENSG00000072071
gp_0727	ENSG00000072071
gp_0728	ENSG00000072071
gp_0729	ENSG00000072071
gp_0730	ENSG00000072071
gp_0731	ENSG00000072071
gp_0732	ENSG00000072071
gp_0733	ENSG00000072071
gp_0734	ENSG00000149218
gp_0735	ENSG00000115419
gp_0736	ENSG00000115419
gp_0737	ENSG00000183020
gp_0738	ENSG00000183020
gp_0739	ENSG00000138674
gp_0740	ENSG00000165264
gp_0741	ENSG00000165264
gp_0742	ENSG00000165264
gp_0743	ENSG00000165264
gp_0744	ENSG00000065518
gp_0745	ENSG00000182168
gp_0746	ENSG00000133318
gp_0747	ENSG00000136099
gp_0748	ENSG00000136099
gp_0750	ENSG00000130414
gp_0751	ENSG00000130414
gp_0752	ENSG00000130414
gp_0753	ENSG00000122642
gp_0754	ENSG00000122642
gp_0755	ENSG00000122642
gp_0756	ENSG00000122642
gp_0757	ENSG00000122642
gp_0758	ENSG00000122642
gp_0759	ENSG00000122642
gp_0760	ENSG00000122642
gp_0761	ENSG00000122642
gp_0762	ENSG00000122642
gp_0763	ENSG00000122642
gp_0764	ENSG00000122642
gp_0765	ENSG00000122642
gp_0766	ENSG00000122642
gp_0767	ENSG00000122642
gp_0768	ENSG00000122642
gp_0769	ENSG00000117114
gp_0770	ENSG00000117114
gp_0771	ENSG00000117114
gp_0772	ENSG00000117114
gp_0773	ENSG00000117114
gp_0774	ENSG00000221890
gp_0775	ENSG00000221890
gp_0776	ENSG00000221890
gp_0777	ENSG00000221890
gp_0778	ENSG00000221890
gp_0779	ENSG00000221890
gp_0780	ENSG00000221890
gp_0781	ENSG00000221890
gp_0782	ENSG00000221890
gp_0783	ENSG00000221890
gp_0784	ENSG00000221890
gp_0785	ENSG00000221890
gp_0786	ENSG00000221890
gp_0787	ENSG00000221890
gp_0788	ENSG00000221890
gp_0789	ENSG00000221890
gp_0790	ENSG00000221890
gp_0791	ENSG00000221890
gp_0792	ENSG00000221890
gp_0793	ENSG00000221890
gp_0794	ENSG00000135622
gp_0795	ENSG00000135622
gp_0796	ENSG00000135622
gp_0797	ENSG00000196961
gp_0798	ENSG00000196961
gp_0799	ENSG00000196961
gp_0800	ENSG00000196961
gp_0801	ENSG00000156709
gp_0802	ENSG00000156709
gp_0803	ENSG00000156709
gp_0804	ENSG00000156052
gp_0810	ENSG00000108231
gp_0811	ENSG00000108231
gp_0812	ENSG00000108231
gp_0813	ENSG00000108231
gp_0814	ENSG00000108231
gp_0815	ENSG00000108231
gp_0816	ENSG00000108231
gp_0817	ENSG00000108231
gp_0818	ENSG00000108231
gp_0819	ENSG00000108231
gp_0820	ENSG00000108231
gp_0821	ENSG00000108231
gp_0822	ENSG00000108231
gp_0823	ENSG00000108231
gp_0824	ENSG00000108231
gp_0825	ENSG00000108231
gp_0826	ENSG00000108231
gp_0827	ENSG00000108231
gp_0828	ENSG00000108231
gp_0829	ENSG00000108231
gp_0830	ENSG00000108231
gp_0831	ENSG00000108231
gp_0832	ENSG00000108231
gp_0833	ENSG00000108231
gp_0834	ENSG00000108231
gp_0835	ENSG00000140990
gp_0836	ENSG00000104853
gp_0837	ENSG00000104853
gp_0838	ENSG00000104853
gp_0839	ENSG00000104853
gp_0840	ENSG00000104853
gp_0841	ENSG00000104853
gp_0842	ENSG00000104853
gp_0843	ENSG00000104853
gp_0844	ENSG00000104853
gp_0845	ENSG00000104853
gp_0846	ENSG00000104853
gp_0847	ENSG00000104853
gp_0848	ENSG00000104853
gp_0849	ENSG00000104853
gp_0850	ENSG00000104853
gp_0851	ENSG00000104853
gp_0852	ENSG00000104853
gp_0853	ENSG00000104853
gp_0854	ENSG00000104853
gp_0855	ENSG00000104853
gp_0856	ENSG00000104853
gp_0857	ENSG00000104853
gp_0858	ENSG00000104853
gp_0859	ENSG00000104853
gp_0860	ENSG00000104853
gp_0861	ENSG00000104853
gp_0862	ENSG00000134333
gp_0863	ENSG00000134333
gp_0864	ENSG00000134333
gp_0865	ENSG00000134333
gp_0866	ENSG00000148672
gp_0867	ENSG00000148672
gp_0868	ENSG00000148672
gp_0869	ENSG00000148672
gp_0870	ENSG00000148672
gp_0871	ENSG00000148672
gp_0872	ENSG00000148672
gp_0873	ENSG00000148672
gp_0874	ENSG00000142168
gp_0875	ENSG00000142168
gp_0876	ENSG00000047457
gp_0877	ENSG00000047457
gp_0878	ENSG00000047457
gp_0879	ENSG00000047457
gp_0880	ENSG00000047457
gp_0881	ENSG00000047457
gp_0882	ENSG00000047457
gp_0883	ENSG00000047457
gp_0884	ENSG00000047457
gp_0885	ENSG00000047457
gp_0886	ENSG00000047457
gp_0887	ENSG00000047457
gp_0888	ENSG00000047457
gp_0889	ENSG00000047457
gp_0890	ENSG00000047457
gp_0891	ENSG00000047457
gp_0892	ENSG00000047457
gp_0893	ENSG00000047457
gp_0894	ENSG00000047457
gp_0895	ENSG00000047457
gp_0896	ENSG00000047457
gp_0897	ENSG00000047457
gp_0898	ENSG00000047457
gp_0899	ENSG00000047457
gp_0900	ENSG00000047457
gp_0901	ENSG00000198805
gp_0902	ENSG00000125166
gp_0903	ENSG00000125166
gp_0904	ENSG00000125166
gp_0905	ENSG00000125166
gp_0906	ENSG00000125166
gp_0907	ENSG00000125166
gp_0908	ENSG00000146648
gp_0909	ENSG00000146648
gp_0910	ENSG00000146648
gp_0911	ENSG00000102144
gp_0912	ENSG00000102144
gp_0913	ENSG00000102144
gp_0914	ENSG00000102144
gp_0915	ENSG00000102144
gp_0916	ENSG00000102144
gp_0917	ENSG00000102144
gp_0918	ENSG00000102144
gp_0919	ENSG00000102144
gp_0920	ENSG00000159403
gp_0921	ENSG00000257017
gp_0922	ENSG00000257017
gp_0923	ENSG00000257017
gp_0924	ENSG00000257017
gp_0925	ENSG00000257017
gp_0926	ENSG00000257017
gp_0927	ENSG00000257017
gp_0928	ENSG00000257017
gp_0929	ENSG00000257017
gp_0930	ENSG00000257017
gp_0931	ENSG00000257017
gp_0932	ENSG00000257017
gp_0933	ENSG00000257017
gp_0934	ENSG00000257017
gp_0935	ENSG00000257017
gp_0936	ENSG00000257017
gp_0937	ENSG00000257017
gp_0938	ENSG00000257017
gp_0939	ENSG00000257017
gp_0940	ENSG00000257017
gp_0941	ENSG00000257017
gp_0942	ENSG00000257017
gp_0943	ENSG00000257017
gp_0944	ENSG00000257017
gp_0945	ENSG00000257017
gp_0946	ENSG00000257017
gp_0947	ENSG00000257017
gp_0948	ENSG00000257017
gp_0949	ENSG00000257017
gp_0950	ENSG00000257017
gp_0951	ENSG00000257017
gp_0952	ENSG00000257017
gp_0953	ENSG00000257017
gp_0954	ENSG00000257017
gp_0955	ENSG00000257017
gp_0956	ENSG00000257017
gp_0957	ENSG00000257017
gp_0958	ENSG00000257017
gp_0959	ENSG00000257017
gp_0960	ENSG00000257017
gp_0961	ENSG00000257017
gp_0962	ENSG00000257017
gp_0963	ENSG00000257017
gp_0964	ENSG00000257017
gp_0965	ENSG00000257017
gp_0966	ENSG00000257017
gp_0967	ENSG00000257017
